,0
0,也就因为卸任了
1,美国这位现任跨界总统也算是位神人，能够让前四任总统齐齐现身发声，估计他若再疯狂下去，墓地里的那些前任也要从棺材板里爬出来找他谈谈了。
2,个人更欣赏卡特，各个国家老一代的领导人品格都相对高尚些。
3,也就因为卸任了
4,美国这位现任跨界总统也算是位神人，能够让前四任总统齐齐现身发声，估计他若再疯狂下去，墓地里的那些前任也要从棺材板里爬出来找他谈谈了。
5,个人更欣赏卡特，各个国家老一代的领导人品格都相对高尚些。
6,政客们在台上可不会有这样的说辞
7,有屁用，特朗普就是杠精，吹牛没用的
8,这是一道别样的风景线。
9,美国政客那来的平等！我要问小布什当你发动侵略伊拉克战争的时候平等在哪里？大规模杀伤性武器找到了吗？剥去你们西方国家政客的假面具，统统见鬼去吧。
10,人民至上，人民拥护才能长治久安
11,不管什么体制，为人民服务是终极目标！
12,倒霉的才是百姓
13,祸祸自己一个国家是无能！祸祸其它国家就是最大恶极！
14,呵呵
15,政治家大部分，靠说假话。
16,我们的政治环境呢？
17,在他们的任期，谁又为和平作出贡献？谁又维护正义？不管谁当总统，都是维护美国利益，那有什么道义正义？上梁不正下梁歪，这就是美国历史。
18,说的好听
19,特朗普四面楚歌众叛亲离人心皆失！
20,特朗普悬了。
21,看来特朗普要下台了，美国有希望
22,说说而已
23,川普是站在前任的制高点
24,不知道这几位如果在位会怎么做，是不是真的能为黑人讨回公道，还是只是只说不做
25,这就是移民国家要面临的问题，永远不好平衡，既然把黑人当奴隶从非洲弄来了，就要好好待人家。这也是个教训，中国不能随意给外国人永久居住权，不是看不起别人，而是没法管理。
26,川普成了众失之的。
27,背后的财团和势力团才是问题吧
28,都是资本家的代言人
29,呵呵！就静静的看着吧！
30,一般美国总统卸任后说话都比较客观
31,反对种族歧视
32,特没谱会创造出，最差总统宝座评选。也诉祷美国衰退的国运，能一直保持下去！
33,你们说的起作用吗？
34,种族歧视是不道德的为行，四任总都作了总结，不是用口头说能解决，卡特之前之后都有种族歧视未能了结！顽疾！
35,有种族歧视的国家，怎能做世界和平维和的国家！
