,0
0,的确，多一手准备好
1,其实我想问句   这个艺人   她是谁
2,得，到头来原来是yamy错了欧
3,的确，多一手准备好
4,其实我想问句   这个艺人   她是谁
5,得，到头来原来是yamy错了欧
6,屁都不懂还女性的天然优势 你倒是知道男性最喜欢听什么话  贱的吧要不要脸啊？
7,受不了老板就走呗！现在社会去哪里不能混碗饭吃呢！这样搞得话，基本这个人就费了，以后圈子里谁还敢用呢！
8,这种大男子主义，难怪他会讨厌yamy
9,他说不让录音就不该录？KTV还禁止携带酒水呢？美容院还一经售出概不退还呢？都当听话的好孩子当傻了吧
10,让我想到了 kanye，金屁股 和我 泰勒！
11,他还是不明白，就算yamy真的坏透了膛，坏到天上地下独一无二的地步，也不能证明他羞辱女性的言论是没错的。还帮他说话，就事论事，就这件事上他占什么理？
12,女性天然优势那位点开一看果然已经在黑名单里了
13,@超话社区 ，
14,徐的营销号真的多，这些人吃这种钱感觉就是没底线的，反正这个公司表示无感了
15,不了解事情本身，不去站队
16,我要反省自己为啥会刷到这个东西，…
17,老实说 这录音如果真的有剪辑的话就有点带节奏了  想解约可以理解 可用这种手段就有点那啥了 另外yamy长的可能比较符合外国对中国女孩的审美 可就我而言我确实觉得yamy长的一般  所以这种东西无论哪一方都有过失吧
18,我也支持你
19,强奸犯还不让录像呢。我还不让你侵犯我呢，自己没做到都觉得该道歉了。既然还不道歉，还理直气壮的。无语
20,不会！我也中立
21,两个都不是舍好鸟 装什么无辜
22,？？？正因为这不是她爱豆  所以才公正呀  你屁股是歪的吧？
23,吃瓜，不讨论
24,不录音的话，被骂了也不能报复
25,这件事情我也是个中立的看法，双方都有不合理的地方
26,自己还有脸是“风气”二字？！
27,两边都不是好鸟
28,未知全貌不予置评
29,录音有什么不对的？现在录音都可以作为证据上法庭了，你说录音不对？
30,像不像你们三个人，你和其中一个说了另一个人坏话，然后这个人告诉了另外一个人。那你说这个人该不该说呢
31,那祝福你也遇到咯
32,其他公司能安然接受这个艺人吗
33,商业社会，一切为利。艺人、经纪公司各有立场，对和错的区别就在于看待问题的角度不同而已。
34,唉
35,。。。
36,一些人在私底下还不知道怎么骂老板的呢，在这就双标了，不明白的事就别轻易站队，我就站中立
37,值得考虑考虑，Y真不是什么简单人，这种人谁还敢深交了，
38,怎么总是有这些十八线的小明星出来上热搜
39,Y开会录音这事值得考虑，这么早就做准备可想而知也不是什么单纯的人，有点手段，不过他老板也确实有点过，有点侮辱人，如果只是单纯的批评她路线有问题，不适合颜值，时尚路线，也不会被录音现在还被骂的这么惨，总而言之，通过录音这事，我不太喜欢Y了
40,那些说yamy用舆论威胁的人，麻烦动动脑子好吗。首先不说这个是不是yamy蓄意，就算真是，除了这种方式她能怎么办？一个艺人靠什么跟老板抗衡？这种老板还不知道害过多少人，不曝光难道让他们继续坑害侮辱其他人吗？什么鬼三观
41,我不评判两个人，但就录音这一条，我觉得从公司出发这种员工......而且，偷录音属于侵犯个人隐私权，是犯法的。
42,好像这样的录音不可以做那个吧，在ft上
43,虽然话说得很过分，但是让人无法反驳啊，确实是不好看，装时尚，唱的不好听
44,这条评论赚了多少钱
45,中立
46,纯吃瓜路人路过，没啥态度，只是觉得娱乐圈的水不但深，浪还大，这个老板麻烦大不大不好说，这个艺人以后的路估计不太好走，热潮经济退后，恐怕没几个公司敢接收了
47,这男的是水瓶座？
48,但是她做的是娱乐行业，外貌本来就是一种工作
49,要是入职以外貌的公司，评论外貌不是很正常，因为这是你产出。其他类型的公司评论外貌肯定是不对的
50,看看这下面的各种吧 现在微博真是不忍直视
51,让子弹在飞一会儿
52,给你你要不要
53,头像是recoberry小姐姐吗！
54,神明没有春天-：我也不知道 好看随便用的
55,不是天然的
56,安静吃瓜
57,资本世界不简单，
58,emmmmm站边，但是仅仅有一点就是作为路人来说Yamy的眉眼太小了，我觉得更适合去当一名风格冷艳独立的model
59,… 是不好看
60,微博都是女的，无脑女偏多。
61,慢慢
62,有人说，承认艺人是商品的都是精神资本家。 照他们这样说，马克思也是精神资本家了，而且是最大的精神资本家，因为马克思最深刻地道出了工人的商品属性。 不愿承认矛盾还在那里谈正能量，谈人权，你谈个屁。工人不是商品那你还反对资本干什么，你反了个寂寞？
63,中立！说的也不是全无道理
