,0
0,市长痛哭：你的死给我市带来的损失太大了，那个使用膝盖锁脖神功的混蛋警察，你下狠手时就不知道看看周围是不是有人在拍摄，你惹的祸可把我给整惨了。
1,感谢好友
2,谢谢好友
3,市长痛哭：你的死给我市带来的损失太大了，那个使用膝盖锁脖神功的混蛋警察，你下狠手时就不知道看看周围是不是有人在拍摄，你惹的祸可把我给整惨了。
4,谢谢好友
5,早上好
6,每日博闻：感谢好友
7,经常来互相转转呀
8,每日博闻：感谢来访
9,打卡
10,。。
11,演技不错。
12,特朗普，蓬呸呸都没哭，不算；
13,大哭？呵呵！这位官员做这套戏还假过（尉迟）要（程咬金）帮前主子哭丧！想不到现代真实版却发生在美国官界。哈哈！假到可怜。
14,资本国家是知道命比钱重要，为什么会这样？
15,美国政客都特么是演员吗？里根正宗演员转行；建国也算参演过奥斯卡获奖片，这家伙演技显然不俗。
16,...
17,鳄鱼的眼泪
18,演技派
19,黑人站起来统治美国，加油
20,表演，好莱坞来的吧
21,看到美国政客如此下作的表演，我感觉无法呼吸！
22,uuu
23,这市长真会做秀！
24,我
25,真情啊
26,人固有一死，或重于泰山，或轻于鸿毛，弗洛伊德虽然可能因为用假币而被抓，但死于美国白人的种族歧视，他的死就有了意义，也会象马丁路德一样被世人记住。
27,猫哭耗子
28,T：没人比我更懂什么是假新闻。
29,还真的能哭出来哎，天呐！
30,棺材质量真不错
31,为了选票我是真的拼了！
32,这黑人不是啥英雄，也不是干了光彩的事。用假钞，只是死的有点冤而已。用的着痛哭流涕了吗？
33,用户7413311124：你鉴定过是假炒？这都不重要，重要的是黑人不该死的
34,好演员。孝子贤孙
35,表演👍
36,为一个小偷，哭得像真的。。。
37,用户7413311124：小偷？你看见了吗？很混蛋的话
38,用户6787799887：你被弄死了狗都不理
39,是干嚎还是泪流满面
40,让犯罪的人得到应有惩处，让将来的执法变得公正透明，比哭灵好一百倍
41,show boat
42,如果没有游行示威，市长会参加吗？
43,被吓哭的，不哭要挨打
44,虽然是好莱坞出品，但剧情还是需要的。希望是好的
45,虽然特朗普骂他们软弱无能，但这位市长应当这样做。安抚民心、稳定局势是他的职责。
46,"为什么第一时间说是医疗事故,为什么第一时间只是解职?"
47,孔明：你这招我早用过了，你哭得那么差劲，比我差远了
48,追悼会都不忘做个秀。
49,猫哭耗子！
50,戏精
51,人权呢？
52,死去的黑人在棺材里露出灿烂的笑容
53,哈哈，哈哈。太戏，不像。
54,狗是假慈悲的
55,原来美国也兴这么哭灵
56,【黑人得了新冠：迷天大慌】为了减责，故意编造黑人已得新冠。在目前美国新冠疫情失控的环境下，“黑人得了新冠”很能让民众相信！
57,唉
58,猫哭老鼠
59,“明尼阿波利斯市市长雅各布·弗雷单膝跪在弗洛伊德的灵柩前，一手轻抚棺材，一手掩嘴痛哭”。 —— 一、该市长于灵前痛哭，应该是真实的情感流露；二、该市长应该是民主党人；三、若该市长为共和党人，于后特朗普会不会难为他、甚至攻击他？
60,市长是个好演员
61,感觉是:老鼠哭猫.
62,戏精！装的一手好逼！但一不小心，跪姿和那个警察一样。
63,戏精
64,这对美国也许是好事，弗洛伊德事件也许能让美国警察在面对黑人时能有所顾忌吧
65,这位市长，演过了，演过了啊…………
66,早知今日，何必当初。赶快把杀人警察重判，还死者一个公道，平息抗议抗议人群。
67,想起了孔明吊唁周瑜那一出
68,但愿不再是鳄鱼的眼泪！！！
69,意思是：“啊，我的乌纱帽啊。”
70,用户2938164951：在美国热闹了老百姓，真心乌纱帽不保啊。
71,猫哭耗子假慈悲
72,都是表演艺术家
73,连死的时候也没吸上一口新鲜空气，真的是可怜啊
74,这个孙子，装一下还是正确的选择。不然呢？要知道的是，美国国内的骚乱已经到了很严重的地步，这个状态继续下去，美国可能会万劫不复！更加可怕的是，过急跳墙的话，美国有可能会发动战争转移国内矛盾，那个时候，对于整个世界都是灾难！！第三次世界大战，你以为很遥远吗？很可能，近在咫尺！
75,用户6787799887：那第三次大战到你家去打？
76,美国现代版的卧龙吊孝？！
77,弗洛伊德就是被跪死的，单膝跪在弗洛伊德的灵柩旁边实在给逝者家属添堵
78,一半脸儿哭，一半脸儿笑，是哭是笑只有我知道。
79,演，继续演。
80,"""对不起呀，兄弟，是我没管好我的手下呀……我也没想到你们的人会有这么厉害呀…………求你原谅我们一回吧…………哦唔 哦唔 …………拜托在那边帮我们跟上帝说说好话吧，请他宽恕我们吧…………哦呜…………哦呜…………别在让你们的人打砸抢了啊…………我实在坚持不下去了啊…………"""
81,天蓝色19：回复@用户6787799887：过讲过讲了啊，我可没有什么文凭啊。——只是“那些各种剧”里，都是这么演的！…………现在，咱只是看到了一个现实的罢了…………
82,用户6787799887：心理学学的不错
83,政客都是表演系毕业的
84,痛哭流涕表明他良心未泯，野蛮执法又是他教育属下不利、、美国的事说不清；民主吗，大概就这样了。
85,民主党都是戏精！
86,作秀
87,政客戏子
88,演技不错
89,应该让川普过来下跪！！！
90,历史总在进步，不管怎么说，美国的黑人具有法律上的平等权利，纳粹式的种族歧视已经被扫入历史垃圾堆！
91,不敢想象，发生在其他地方会是什么样子
92,拙劣的表演，都是些骗子
93,特朗普是脱口秀演员，而这些政客确实戏精，佩洛西、彭佩奥等政客粉墨登场，真是搞笑。。。。
94,政客的日常
95,鳄鱼的眼泪。。。。
96,美国的这些政客，全他妈是演员，操
97,恶心！
98,真情流露，人心都是想通的。
99,装腔作势，要不然黑人闹事，估计死了都没人搭理
100,奥斯卡影帝级别的表演
101,哎吖哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
102,一场运动，仅仅为一个死者讨了公道，而且哪怕是这一个人的公道还不确定是不是真的讨的回。做到这里，大概就是种族主义者能做出的妥协了。
