,0
0,纯属吃饱了撑得，一张照片愣是能写出一部剧来了
1,z桃子-：张大大还坐了c位呢，这明显不成立，别把电视剧搬进现实，你又不是那个圈子的人门清？[胖红生气]
2,原来见过面：不然怎么有人记得
3,-周一日记：网友就是这样啊闲出屁了都
4,为啥老是恶意揣摩别人啊美女爱站那站那
5,狙击烊烊鸭：头像刘文哎
6,1LR1：爱了姐妹头像和评论了！
7,要努力的小辰：姐妹头像真好看
8,朋友合照爱站哪站哪 一个合照为什么还要细扒
9,哈哈哈哈哈哈哈哈哈哈
10,期待回访[打call]
11,所以简单与不简单碍你什么事？成人的世界有简单这两个字？但是跟朋友和闺蜜应该相处都会简单化吧  毕竟生活不简单 生活中的每个人都不简单 你也不简单啊 虽然你的长相和钱包很简单  但是你肮脏的思想不简单@义乌狂人
12,热一那个人心理也太阴暗了，女明星红就是不简单？人家红就是人家牛逼哦
13,哈哈，反正很喜欢
14,我也是醉了，合个照而已🙉
15,emmmm就事论事，我觉得在这里宣传新剧和嘲讽演技的都没必要，偏题了
16,这位美女有些什么好看的作品？？？
17,美女爱站哪儿站哪儿
18,〖回访〗“因为你优秀 所以你耀眼”@angelababy
19,超级爱好
20,难道你们和好朋友一起合照也要在意这么多嘛，还是关注一下美女的  趴
21,搜藏搜藏 额
22,特么这事永远离不开张大大
23,就国庆节闲的没事干，还是关注一下baby12.24圣诞节  趴，谢谢～
24,前排左二那个很好看吖。
25,重点是，哪来的作品  只能纠结这些破事制造热度
26,「回访来了」你是春风吹来花信 是夏夜里倒悬的星河 精神交替季节更迭 唯我对你的欢喜不变@angelababy
27,回访
28,我昨天以为左下的是她  我还评论了 感觉ab今天的妆容看起来不一样  好几个粉丝回复我说我眼睛有问题 人家明明没化妆
29,把别人想得很复杂的人，内心都很复杂
30,好看[米奇比心]
31,都散了吧，期待一下12.24鼻的新剧
32,angelababy
33,简简单单 我就喜欢北鼻这样
34,普通聚会而已
35,就是啊
36,快乐第一位
37,真的是了啊
38,真的是
39,(* ￣ー￣)
40,和朋友聚会本来就简简单单的就好了 莫名其妙的被放大是自己酸了 还是咋滴可以期待一下大美女的《明天你依然爱我》12.24上映噢
41,几张看下来，她好像都在边上，有一个女的好像固定在最明亮，最光圈的照片中，这又说明啥……
42,是靠老公吧
43,解释个啥，心里都明镜似的
44,好看
45,简简单单就好
46,第一眼惊艳 第二眼沦陷 第三眼不负遇见
47,［回访来啦］“即使前方是深渊万仗 我也会义无反顾的奔向你 因为你是我生命中少有的星星.” @angelababy
48,在吗
49,有些人纯属没事找事
50,感觉那个白衬衣的应该是最厉害的
51,【回访来了】月亮照回湖心 野鹤奔向闲云 我步入你[打call]
52,人家是说喜欢简单 你他妈眼睛挖掉吧
53,在百姓眼里你是县长，在黄四郎眼里，你就是跪着要饭的，挣钱么，生意，不寒碜  在粉丝眼里你是明星，在资本财阀眼里，你就是跪着要饭的，非C位么，影响力，不寒碜
54,就是
55,美炸啊
56,人家是现实版三十而已，你们是啥？网络版公园菜市场大妈大爷？ 
57,我第一眼就是我的宝贝
58,有些人高考语文做阅读理解的时候都没这么费力吧一个解释竟然有人觉得是恼羞成怒？合着你被人误会了就忍气吞声呗 那些嘴臭的人究竟是出自什么心态说出这些话懂得人都懂
59,未选择的路
60,哎哟，？？？虾米？
61,在九月，离开……
62,[花心]不错，支持
63,有太多借口忘了很多事，忘了吃饭，忘了睡觉，忘了生活
64,之前也没找到，咋也不敢问，同瑟瑟发抖
65,雨夜听花落
66,<杨颖是我落日余晖的偏爱和措不及防的喜欢>期待回访
67,她说简单，李菲儿笑了
68,我等着天蓝
69,▸ ᴀɴɢᴇʟᴀʙᴀʙʏ♡“热爱可抵岁月漫长”<请诚信回评+赞最新>
70,好A
71,〈期待回访最新一条微博〉我的偶像光芒万丈我不能一身戾气
72,我向着你，就像向日葵向着太阳，不负遇见@angelababy
73,此生，你已在我心里深种
74,散了散了，期待ab12.24上映的电影啦[打call]
75,散了散了，期待ab12.24上映的电影啦[打call]
76,好像网红
77,搜藏搜藏  
78,真暖
79,(??????)? ??了
80,霸气侧漏啊！杠杠的
81,高度致敬
82,超棒
83,~支持哦！！
84,【围观】
85,为什么要细扒有何意义
86,自己什么样就把别人想的怎么样
87,麻烦少看点电视心里阳光一点儿不好？你和好朋友拍照也要分位置？
88,简简单单就好
89,baby
90,T
91,JJ
92,期待 
93,所以她们都是干嘛的
94,请你只关注她的作品。
95,她是明星。
96,那么爱关注她的私生活？
97,更何况是那么多年的好朋友。
98,朋友之间有什么简单不简单的？
99,大哥，你没搞错吧？
100,遍身罗绮者，不是养蚕人。从一个又一个普通人口袋中刮来了钱，又得意什么呢？
101,这期我都看了 哪有你说的那么夸张 ？
102,这届网友好无聊
103,。。。。
104,朋友之间正常的聚会而已，没必要多疑。
105,这个照片我觉得没得嘲，但是AB绝对不简单啊
106,Angelababy
107,哈哈哈哈哈找到了
108,𝐚𝐧𝐠𝐞𝐥𝐚𝐛𝐚𝐛𝐲<期待hui 访>并非盛名而来，亦不会因为诋毁而离开 禁复制
109,期待baby明天你是否依然爱我[打call]
110,我能说我一开始根本以为baby不在上面嘛！
111,你的评论我喜欢，你的私信记得关
112,确实想说，难道你跟朋友合照的时候，必须是c位？？
113,一颗小林糖：不是随便站吗
114,看看就好。
115,一眼看过去居然没找到她，这些美女的样子太过相似了
116,谁给我科普一下，图里的女人都是那些富豪的老婆？
